DFIRM_ID,FIRM_PAN,PANEL,ST_FIPS,PCOMM,EFF_DATE,PRE_DATE,PANEL_TYP,eff_date,pre_date,county_fips
01069C,01069C0435G,0435,01,069C,1409702400000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-03,9999-09-09,12069
01069C,01069C0455G,0455,01,069C,1409702400000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-03,9999-09-09,12069
01069C,01069C0460G,0460,01,069C,1409702400000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-03,9999-09-09,12069
12007C,12007C0020E,0020,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0040E,0040,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0045E,0045,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0070E,0070,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0090E,0090,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0080E,0080,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0085E,0085,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0095E,0095,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0115E,0115,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0105E,0105,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0110E,0110,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0120E,0120,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0145E,0145,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0165E,0165,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0155E,0155,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0160E,0160,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0170E,0170,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0190F,0190,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0180F,0180,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0184F,0184,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0195F,0195,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0215F,0215,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0205F,0205,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0210F,0210,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0220F,0220,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0230E,0230,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0235E,0235,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0255E,0255,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0260E,0260,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0290F,0290,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0280E,0280,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0285E,0285,12,007C,1335916800000.0,253392451200000.0,"Countywide, Panel Printed",2012-05-02,9999-09-09,12007
12007C,12007C0295F,0295,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0310F,0310,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0185F,0185,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0192F,0192,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0204F,0204,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0203F,0203,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12007C,12007C0211F,0211,12,007C,1541116800000.0,253392451200000.0,"Countywide, Panel Printed",2018-11-02,9999-09-09,12007
12017C,12017C0044E,0044,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0159E,0159,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0156E,0156,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0158E,0158,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0157E,0157,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0179E,0179,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0176E,0176,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0178E,0178,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0280E,0280,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
